,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
240,10-Nov-2021,EQ,905.90,925.00,895.00,892.15,918.60,919.65,915.24,971.15,610.2,"1,70,83,220","15,63,52,64,086.70","3,09,870"
241,09-Nov-2021,EQ,864.00,905.40,862.60,859.50,904.50,892.15,879.47,971.15,610.2,"1,53,76,349","13,52,31,05,509.50","2,34,898"
242,08-Nov-2021,EQ,878.00,878.25,854.30,872.85,860.85,859.50,860.92,971.15,610.2,"44,81,883","3,85,85,21,299.45","1,01,638"
243,04-Nov-2021,EQ,855.75,875.00,853.00,849.00,874.00,872.85,870.26,971.15,589.0,"9,73,315","84,70,33,085.35","29,123"
244,03-Nov-2021,EQ,864.00,869.90,843.00,861.50,852.25,849.00,857.26,971.15,589.0,"32,88,759","2,81,93,13,921.80","49,910"
245,02-Nov-2021,EQ,875.00,879.30,859.00,870.35,863.00,861.50,867.26,971.15,589.0,"37,04,926","3,21,31,34,008.90","77,732"
246,01-Nov-2021,EQ,884.25,887.90,860.40,884.25,871.55,870.35,872.85,971.15,589.0,"41,46,270","3,61,90,88,670.60","1,22,748"
247,29-Oct-2021,EQ,883.50,901.50,862.00,883.85,885.00,884.25,886.66,971.15,586.8,"24,82,056","2,20,07,46,896.40","81,836"
0,29-Oct-2021,EQ,883.5,901.5,862.0,883.85,885.0,884.25,886.66,971.15,586.8,"24,82,056","2,20,07,46,896.40","81,836"
1,28-Oct-2021,EQ,887.0,896.0,877.9,886.8,881.0,883.85,888.17,971.15,586.8,"21,71,227","1,92,84,17,585.45","59,664"
2,27-Oct-2021,EQ,900.0,903.8,883.5,894.55,885.1,886.8,891.01,971.15,586.8,"33,62,019","2,99,55,95,508.80","56,234"
3,26-Oct-2021,EQ,893.4,900.0,884.0,890.7,896.0,894.55,892.5,971.15,586.8,"34,10,657","3,04,39,98,979.00","61,810"
4,25-Oct-2021,EQ,883.0,905.9,883.0,887.85,890.3,890.7,895.39,971.15,586.8,"28,33,933","2,53,74,76,396.30","79,213"
5,22-Oct-2021,EQ,904.0,909.8,885.1,897.0,890.0,887.85,896.32,971.15,586.8,"19,99,394","1,79,20,96,812.40","66,351"
6,21-Oct-2021,EQ,908.3,911.1,893.4,899.35,896.8,897.0,898.64,971.15,586.8,"26,14,538","2,34,95,34,070.00","72,013"
7,20-Oct-2021,EQ,913.0,924.9,894.65,917.5,902.0,899.35,904.67,971.15,586.8,"35,51,282","3,21,27,46,995.70","84,866"
8,19-Oct-2021,EQ,911.0,927.6,901.2,910.95,917.1,917.5,915.4,971.15,586.8,"34,76,818","3,18,26,66,438.40","86,479"
9,18-Oct-2021,EQ,958.0,958.0,908.3,931.4,910.8,910.95,925.21,971.15,586.8,"28,85,649","2,66,98,41,232.10","1,13,024"
10,14-Oct-2021,EQ,938.5,946.25,922.2,935.35,932.0,931.4,931.41,971.15,586.8,"33,54,982","3,12,48,73,565.50","1,05,744"
11,13-Oct-2021,EQ,893.0,971.15,893.0,890.1,936.2,935.35,938.69,971.15,586.8,"1,75,19,612","16,44,54,33,652.85","3,52,415"
12,12-Oct-2021,EQ,888.0,894.65,877.0,895.6,889.55,890.1,887.13,952.05,586.8,"34,33,345","3,04,58,32,933.35","86,173"
13,11-Oct-2021,EQ,879.0,902.5,879.0,877.8,893.9,895.6,895.32,952.05,586.8,"54,93,159","4,91,81,38,029.10","1,37,967"
14,08-Oct-2021,EQ,893.7,895.0,872.55,878.25,877.0,877.8,882.37,952.05,586.8,"39,38,358","3,47,50,97,492.70","85,306"
15,07-Oct-2021,EQ,839.7,887.8,837.15,834.1,875.25,878.25,872.71,952.05,586.8,"95,15,673","8,30,44,68,001.30","1,94,662"
16,06-Oct-2021,EQ,846.0,854.9,829.0,843.05,835.15,834.1,841.75,952.05,586.8,"32,88,323","2,76,79,52,045.55","69,366"
17,05-Oct-2021,EQ,841.15,846.0,835.05,841.15,840.05,843.05,841.52,952.05,586.8,"26,47,442","2,22,78,77,110.20","54,927"
18,04-Oct-2021,EQ,832.5,852.0,828.1,827.85,840.4,841.15,842.84,952.05,586.8,"65,44,700","5,51,61,52,268.70","1,33,679"
19,01-Oct-2021,EQ,800.0,831.0,787.0,803.05,827.0,827.85,818.27,952.05,586.8,"77,04,216","6,30,41,29,000.55","1,65,825"
20,30-Sep-2021,EQ,808.05,817.4,801.3,812.1,802.15,803.05,809.3,952.05,586.8,"32,64,689","2,64,21,06,989.75","80,499"
21,29-Sep-2021,EQ,800.0,815.7,799.0,806.05,809.2,812.1,808.65,952.05,586.8,"22,91,977","1,85,34,10,156.35","75,191"
22,28-Sep-2021,EQ,820.0,822.0,796.25,811.35,805.0,806.05,809.22,952.05,586.8,"38,53,344","3,11,81,90,384.80","99,528"
23,27-Sep-2021,EQ,789.5,813.75,783.05,779.45,813.0,811.35,800.63,952.05,586.8,"92,10,666","7,37,42,94,428.15","1,86,933"
